Ngày đăng bài,Tên,Năm sản xuất,Xuất xứ,Địa điểm,Kiểu dáng,Số km đã đi,Hộp số,Trạng thái,Nhiên Liệu,Giá
23/09/2025,Mazda 3 Sedan 1.5L Deluxe 2022,2022,Trong nước,Nam Từ Liêm - Hà Nội,Sedan,42.000 km,Số tự động,Xe cũ,Máy xăng,495 triệu
24/09/2025,Peugeot 2008 GT Line 2022,2022,Nhập khẩu,Cầu Giấy - Hà Nội,SUV,40.000 km,Số tự động,Xe cũ,Máy xăng,620 triệu
14/10/2025,Hyundai Grand i10 1.2 AT 2010,2010,Trong nước,Tp.HCM,Hatchback,89.000 km,Số tự động,Xe cũ,Máy xăng,168 triệu
10/10/2025,Mazda 3 1.6 AT 2012,2012,Nhập khẩu,Đống Đa - Hà Nội,Hatchback,140.000 km,Số tự động,Xe cũ,Máy xăng,250 triệu
15/10/2025,Mazda CX-8 Premium 2023,2023,Trong nước,Cầu Giấy - Hà Nội,SUV,50.000 km,Số tự động,Xe cũ,Máy xăng,890 triệu
11/10/2025,Honda CR-V 2.4L TG 2012,2012,Trong nước,Quận 2 - Tp.HCM,SUV,87.000 km,Số tự động,Xe cũ,Máy xăng,348 triệu
07/10/2025,Mercedes-Benz GLC 250 4Matic 2018,2018,Trong nước,Quận 7 - Tp.HCM,SUV,1.000 km,Số tự động,Xe cũ,Máy xăng,839 triệu
10/10/2025,Toyota Avanza 1.5 AT 2023,2023,Trong nước,Tp.HCM,MPV,14.766 km,Số tự động,Xe cũ,Máy xăng,489 triệu
24/09/2025,Ford Ranger XLS 2.2 4x2 AT 2015,2015,Trong nước,Hạ Hòa - Phú Thọ,Bán tải,100.000 km,Số tự động,Xe cũ,Máy dầu,380 triệu
30/09/2025,Ford EcoSport Titanium 1.5L AT 2018,2018,Trong nước,Tân Phú - Tp.HCM,Convertible,61.000 km,Số tự động,Xe cũ,Máy xăng,415 triệu
17/10/2025,VinFast Fadil Cao cấp 2019,2019,Trong nước,Quận 2 - Tp.HCM,Hatchback,8.200 km,Số tự động,Xe cũ,Máy xăng,319 triệu
13/10/2025,Mercedes-Benz C250 Exclusive 2016,2016,Trong nước,Tp.HCM,Sedan,78.000 km,Số tự động,Xe cũ,Máy xăng,550 triệu
09/10/2025,Mazda 2 1.5AT 2015,2015,Trong nước,Quận 7 - Tp.HCM,Hatchback,60.000 km,Số tự động,Xe cũ,Máy xăng,270 triệu
08/10/2025,Mitsubishi Xpander 1.5 MT 2023,2023,Trong nước,Dĩ An - Bình Dương,SUV,58.000 km,Số sàn,Xe cũ,Máy xăng,439 triệu
11/10/2025,Ford Ranger Wildtrak 2.0L 4x2 AT 2014,2014,Nhập khẩu,Bà Rịa Vũng Tàu,Bán tải,176.000 km,Số tự động,Xe cũ,Máy dầu,335 triệu
08/10/2025,VinFast Fadil Cao cấp 2020,2020,Trong nước,Dĩ An - Bình Dương,Hatchback,62.000 km,Số tự động,Xe cũ,Máy xăng,279 triệu
01/10/2025,Ford Territory Titanium X 2023,2023,Nhập khẩu,Tân Phú - Tp.HCM,SUV,26.000 km,Số tự động,Xe cũ,Máy xăng,805 triệu
18/10/2025,Hyundai Santa Fe 2.2 Dầu Cao cấp 2022,2022,Trong nước,Dĩ An - Bình Dương,SUV,62.000 km,Số tự động,Xe cũ,Máy dầu,1 tỉ 079 triệu
15/10/2025,Toyota Vios 1.5E MT 2018,2018,Trong nước,Bình Dương,Sedan,71.000 km,Số sàn,Xe cũ,Máy xăng,325 triệu
13/10/2025,Mitsubishi Xpander Cross 1.5 AT 2024,2024,Trong nước,Mỹ Hào - Hưng Yên,MPV,3.000 km,Số tự động,Xe cũ,Máy xăng,640 triệu
23/09/2025,Hyundai Tucson 1.6 Turbo HTRAC 2023,2023,Trong nước,Thanh Xuân - Hà Nội,Hatchback,40.000 km,Số tự động,Xe cũ,Máy xăng,888 triệu
15/10/2025,Hyundai Avante 1.6 AT 2014,2014,Trong nước,Tp.HCM,Sedan,92.000 km,Số tự động,Xe cũ,Máy xăng,270 triệu
06/10/2025,Toyota Camry 2.0Q 2022,2022,Nhập khẩu,Dĩ An - Bình Dương,Sedan,50.000 km,Số tự động,Xe cũ,Máy xăng,999 triệu
22/09/2025,Kia Cerato 2.0 AT Premium 2019,2019,Trong nước,Thanh Xuân - Hà Nội,Sedan,76.000 km,Số tự động,Xe cũ,Máy xăng,450 triệu
14/10/2025,Toyota Vios 1.5E MT 2019,2019,Trong nước,Thanh Xuân - Hà Nội,Sedan,80.000 km,Số sàn,Xe cũ,Máy xăng,320 triệu
09/10/2025,Ford Transit 2016,2016,Trong nước,Thuận An - Bình Dương,Van/Minivan,215.000 km,Số sàn,Xe cũ,Máy dầu,400 triệu
02/10/2025,Kia Sedona 3.3 GAT 2015,2015,Nhập khẩu,Thanh Xuân - Hà Nội,MPV,30.000 km,Số tự động,Xe cũ,Máy xăng,435 triệu
14/10/2025,Hyundai Grand i10 Hatchback 1.2 AT 2019,2019,Trong nước,Thanh Xuân - Hà Nội,Hatchback,58.000 km,Số tự động,Xe cũ,Máy xăng,333 triệu
10/10/2025,Toyota Innova 2.0G 2019,2019,Trong nước,Tp.HCM,MPV,107.000 km,Số tự động,Xe cũ,Máy xăng,550 triệu
25/09/2025,Audi Q2 TFSI 2018,2018,Nhập khẩu,Quận 7 - Tp.HCM,SUV,66.000 km,Số tự động,Xe cũ,Máy xăng,878 triệu
14/10/2025,Kia Morning SX 1.1 AT Sport 2011,2011,Nhập khẩu,Biên Hòa - Đồng Nai,Hatchback,163 km,Số tự động,Xe cũ,Máy xăng,160 triệu
10/10/2025,Mercedes-Benz E180 1.5 I4 2020,2020,Nhập khẩu,Tây Hồ - Hà Nội,Sedan,50.000 km,Số tự động,Xe cũ,Máy xăng,948 triệu
12/10/2025,Ford Ranger XLS 2.0L 4x2 AT 2014,2014,Nhập khẩu,Thanh Xuân - Hà Nội,Bán tải,190.000 km,Số tự động,Xe cũ,Máy dầu,344 triệu
12/10/2025,Honda CR-V 2.4L TG 2015,2015,Trong nước,Long Biên - Hà Nội,SUV,96.000 km,Số tự động,Xe cũ,Máy xăng,470 triệu
16/10/2025,Hyundai Accent 1.4 AT 2023,2023,Trong nước,Mỹ Hào - Hưng Yên,Sedan,7.000 km,Số tự động,Xe cũ,Máy xăng,475 triệu
14/10/2025,Mitsubishi Xpander Cross 1.5 AT 2021,2021,Nhập khẩu,Hà Nội,SUV,185.500 km,Số tự động,Xe cũ,Máy xăng,450 triệu
23/09/2025,Porsche Macan 2.0 2019,2019,Nhập khẩu,Long Biên - Hà Nội,SUV,18.000 km,Số tự động,Xe cũ,Máy xăng,2 tỉ 300 triệu
15/10/2025,Mercedes-Benz C200 Avantgarde 2022,2022,Nhập khẩu,Thủ Đức - Tp.HCM,Sedan,12.000 km,Số tự động,Xe cũ,Hybrid,1 tỉ 199 triệu
15/10/2025,Mercedes-Benz C200 Avantgarde 2022,2022,Nhập khẩu,Thủ Đức - Tp.HCM,Sedan,12.000 km,Số tự động,Xe cũ,Hybrid,1 tỉ 199 triệu
16/10/2025,Ford Everest Titanium 2.0L AT 4WD 2019,2019,Nhập khẩu,Bắc Từ Liêm - Hà Nội,SUV,70.000 km,Số tự động,Xe cũ,Máy dầu,860 triệu
02/10/2025,Toyota Fortuner 2.7V 2015,2015,Trong nước,Thanh Xuân - Hà Nội,SUV,100.000 km,Số tự động,Xe cũ,Máy xăng,485 triệu
13/10/2025,Toyota Corolla Cross 1.8 V  2023,2023,Nhập khẩu,Tp.HCM,SUV,35.000 km,Số tự động,Xe cũ,Máy xăng,720 triệu
23/09/2025,Kia Sonet 1.5 Premium 2024,2024,Trong nước,Thanh Xuân - Hà Nội,Hatchback,20.000 km,Số tự động,Xe cũ,Máy xăng,588 triệu
30/09/2025,Ford Ranger XLS 2.2L 4x2 MT 2019,2019,Trong nước,Tân Phú - Tp.HCM,Bán tải,85.000 km,Số sàn,Xe cũ,Máy dầu,485 triệu
14/10/2025,Mitsubishi Xpander AT Premium 2024,2024,Nhập khẩu,Thanh Xuân - Hà Nội,MPV,38.000 km,Số tự động,Xe cũ,Máy xăng,588 triệu
15/10/2025,Honda HR-V G 2023,2023,Trong nước,Mỹ Hào - Hưng Yên,Crossover,30.000 km,Số tự động,Xe cũ,Máy xăng,625 triệu
14/10/2025,Mazda 3 Sedan 1.5L Luxury 2022,2022,Trong nước,Tp.HCM,Sedan,26.700 km,Số tự động,Xe cũ,Máy xăng,537 triệu
13/10/2025,Toyota Fortuner 2015,2015,Nhập khẩu,Bình Dương,SUV,144.122 km,Số tự động,Xe cũ,Máy dầu,450 triệu
23/09/2025,Ford EcoSport Titanium 1.5L AT 2019,2019,Trong nước,Tân Phú - Tp.HCM,SUV,68.000 km,Số tự động,Xe cũ,Máy xăng,428 triệu
14/10/2025,Ford Ranger XLS 2.0L 4x2 AT 2014,2014,Nhập khẩu,Thanh Xuân - Hà Nội,Bán tải,100.000 km,Số tự động,Xe cũ,Máy dầu,344 triệu
15/10/2025,Mercedes-Benz GLC 200 2018,2018,Nhập khẩu,Hà Nội,SUV,70.000 km,Số tự động,Xe cũ,Máy xăng,890 triệu
07/10/2025,Mercedes-Benz GLC 250 4Matic 2018,2018,Nhập khẩu,Quận 7 - Tp.HCM,SUV,1.000 km,Số tự động,Xe cũ,Máy xăng,839 triệu
08/10/2025,Toyota Vios 2015,2015,Trong nước,Hà Nội,Sedan,1.000 km,Số sàn,Xe cũ,Máy xăng,250 triệu
07/10/2025,Mercedes-Benz GLC 250 4Matic 2018,2018,Nhập khẩu,Quận 7 - Tp.HCM,SUV,1.000 km,Số tự động,Xe cũ,Máy xăng,839 triệu
08/10/2025,Toyota Vios 2015,2015,Trong nước,Hà Nội,Sedan,1.000 km,Số sàn,Xe cũ,Máy xăng,250 triệu
30/09/2025,Ford Focus S 2.0AT 2013,2013,Trong nước,Tân Phú - Tp.HCM,Hatchback,89.000 km,Số tự động,Xe cũ,Máy xăng,338 triệu
13/10/2025,Honda CR-V 2.4L TG 2012,2012,Trong nước,Tp.HCM,SUV,140.000 km,Số tự động,Xe cũ,Máy xăng,355 triệu
13/10/2025,Toyota Corolla Altis 2.0V  2016,2016,Trong nước,Đồng Nai,Sedan,80.000 km,Số tự động,Xe cũ,Máy xăng,460 triệu
11/10/2025,Ford Ranger Raptor 2021,2021,Nhập khẩu,Khánh Hòa,Bán tải,23.000 km,Số tự động,Xe cũ,Máy dầu,970 triệu
15/10/2025,Mitsubishi Xpander AT 2019,2019,Nhập khẩu,Tp.HCM,MPV,186.000 km,Số tự động,Xe cũ,Máy xăng,400 triệu
12/10/2025,Toyota Innova 2.0E 2013,2013,Trong nước,Bình Phước,MPV,95.000 km,Số tự động,Xe cũ,Máy xăng,270 triệu
